STT,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Status,Expiry
0,12/11/2018,3780678,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,1,12/11/2023
1,12/11/2018,3780650,340308,1,340308,A0721204,A07,21,"[32.5, 22.5, 1]",A0721,0,12/11/2023
2,12/11/2018,3780649,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
3,12/11/2018,3780645,442025,1,442025,A0706401,A07,6,"[31.25, 10.5, 1]",A0706,0,12/11/2023
4,12/11/2018,3780638,436455,1,436455,A0216107,A02,16,"[47.5, 18.0, 1]",A0216,0,12/11/2023
5,12/11/2018,3780641,403849,1,403849,A0308201,A03,8,"[44.25, 12.0, 1]",A0308,0,12/11/2023
6,12/11/2018,3780633,439405,1,439405,A0403203,A04,3,"[42.25, 9.0, 1]",A0403,0,12/11/2023
7,12/11/2018,3780621,419207,2,419207,A0503203,A05,3,"[39.0, 9.0, 1]",A0503,1,12/11/2023
8,12/11/2018,3780621,447663,1,447663,A1020501,A10,20,"[20.75, 21.0, 1]",A1020,1,12/11/2023
9,12/11/2018,3780618,364507,1,364507,A0306503,A03,6,"[44.25, 10.5, 1]",A0306,0,12/11/2023
10,12/11/2018,3780596,254222,1,254222,A0719102,A07,19,"[32.5, 21.0, 1]",A0719,0,12/11/2023
11,12/11/2018,3780592,351051,1,351051,A0714203,A07,14,"[31.25, 16.5, 1]",A0714,0,12/11/2023
12,12/11/2018,3780559,351052,1,351052,A0714301,A07,14,"[31.25, 16.5, 1]",A0714,1,12/11/2023
13,12/11/2018,3780559,442946,1,442946,A0309308,A03,9,"[45.5, 13.5, 1]",A0309,1,12/11/2023
14,12/11/2018,3780559,326280,1,326280,A0608404,A06,8,"[34.5, 12.0, 1]",A0608,1,12/11/2023
15,12/11/2018,3780559,380521,1,380521,A0322308,A03,22,"[44.25, 22.5, 1]",A0322,1,12/11/2023
16,12/11/2018,3780559,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,1,12/11/2023
17,12/11/2018,3780559,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,1,12/11/2023
18,12/11/2018,3780559,287410,1,287410,A0609202,A06,9,"[35.75, 13.5, 1]",A0609,1,12/11/2023
19,12/11/2018,3780559,440531,1,440531,A1011103,A10,11,"[22.75, 15.0, 1]",A1011,1,12/11/2023
20,12/11/2018,3780559,458569,1,458569,A0714304,A07,14,"[31.25, 16.5, 1]",A0714,1,12/11/2023
21,12/11/2018,3780555,290863,1,290863,A1011204,A10,11,"[22.75, 15.0, 1]",A1011,0,12/11/2023
22,12/11/2018,3780555,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
23,12/11/2018,3780553,344980,1,344980,A0410303,A04,10,"[41.0, 13.5, 1]",A0410,0,12/11/2023
24,12/11/2018,3780530,253464,1,253464,A0507401,A05,7,"[39.0, 12.0, 1]",A0507,0,12/11/2023
25,12/11/2018,3780514,427203,1,427203,A0306304,A03,6,"[44.25, 10.5, 1]",A0306,0,12/11/2023
26,12/11/2018,3780514,465577,1,465577,A1004103,A10,4,"[20.75, 9.0, 1]",A1004,0,12/11/2023
27,12/11/2018,3780504,427755,2,427755,A0202206,A02,2,"[47.5, 6.0, 1]",A0202,0,12/11/2023
28,12/11/2018,3780505,263737,1,263737,A0413203,A04,13,"[42.25, 16.5, 1]",A0413,0,12/11/2023
29,12/11/2018,3780503,371960,1,371960,A0310504,A03,10,"[44.25, 13.5, 1]",A0310,0,12/11/2023
30,12/11/2018,3780497,437987,1,437987,A0507101,A05,7,"[39.0, 12.0, 1]",A0507,1,12/11/2023
31,12/11/2018,3780497,442479,1,442479,A1117201,A11,17,"[19.5, 19.5, 1]",A1117,1,12/11/2023
32,12/11/2018,3780497,448369,1,448369,A0714404,A07,14,"[31.25, 16.5, 1]",A0714,1,12/11/2023
33,12/11/2018,3780497,453963,2,453963,A1120101,A11,20,"[15.25, 21.0, 1]",A1120,1,12/11/2023
34,12/11/2018,3780481,336641,1,336641,A0302402,A03,2,"[44.25, 6.0, 1]",A0302,0,12/11/2023
35,12/11/2018,3780481,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
36,12/11/2018,3780482,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,1,12/11/2023
37,12/11/2018,3780482,464707,1,464707,A0321403,A03,21,"[45.5, 22.5, 1]",A0321,1,12/11/2023
38,12/11/2018,3780450,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,1,12/11/2023
39,12/11/2018,3780450,442946,1,442946,A0309308,A03,9,"[45.5, 13.5, 1]",A0309,1,12/11/2023
40,12/11/2018,3780423,423094,1,423094,A0919502,A09,19,"[26, 21.0, 1]",A0919,0,12/11/2023
41,12/11/2018,3780175,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
42,12/11/2018,3780173,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
43,12/11/2018,3780173,441483,1,441483,A0320505,A03,20,"[44.25, 21.0, 1]",A0320,0,12/11/2023
44,12/11/2018,3780138,179875,1,179875,A0322103,A03,22,"[44.25, 22.5, 1]",A0322,0,12/11/2023
45,12/11/2018,3780138,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
46,12/11/2018,3780125,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
47,12/11/2018,3780122,412344,1,412344,A0506502,A05,6,"[37.75, 10.5, 1]",A0506,1,12/11/2023
48,12/11/2018,3780122,460231,1,460231,A0919103,A09,19,"[26, 21.0, 1]",A0919,1,12/11/2023
49,12/11/2018,3780114,438415,1,438415,A0512402,A05,12,"[37.75, 15.0, 1]",A0512,0,12/11/2023
50,12/11/2018,3780084,452623,1,452623,A0621204,A06,21,"[35.75, 22.5, 1]",A0621,0,12/11/2023
51,12/11/2018,3780087,374648,1,374648,A0317501,A03,17,"[45.5, 19.5, 1]",A0317,0,12/11/2023
52,12/11/2018,3780080,285652,1,285652,A0314404,A03,14,"[44.25, 16.5, 1]",A0314,1,12/11/2023
53,12/11/2018,3780080,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,1,12/11/2023
54,12/11/2018,3780069,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,1,12/11/2023
55,12/11/2018,3780069,402695,1,402695,A0314408,A03,14,"[44.25, 16.5, 1]",A0314,1,12/11/2023
56,12/11/2018,3780060,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
57,12/11/2018,3780007,348815,1,348815,A0904101,A09,4,"[24, 9.0, 1]",A0904,0,12/11/2023
58,12/11/2018,3779985,351117,1,351117,A0719502,A07,19,"[32.5, 21.0, 1]",A0719,0,12/11/2023
59,12/11/2018,3779972,442439,1,442439,A0711102,A07,11,"[32.5, 15.0, 1]",A0711,0,12/11/2023
60,12/11/2018,3779923,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
61,12/11/2018,3779923,452873,1,452873,A0520304,A05,20,"[37.75, 21.0, 1]",A0520,0,12/11/2023
62,12/11/2018,3779930,419208,1,419208,A0503301,A05,3,"[39.0, 9.0, 1]",A0503,0,12/11/2023
63,12/11/2018,3779887,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
64,12/11/2018,3781799,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
65,12/11/2018,3781789,335727,1,335727,A0202108,A02,2,"[47.5, 6.0, 1]",A0202,0,12/11/2023
66,12/11/2018,3781784,411107,1,411107,A0614103,A06,14,"[34.5, 16.5, 1]",A0614,0,12/11/2023
67,12/11/2018,3781780,263738,1,263738,A0412503,A04,12,"[41.0, 15.0, 1]",A0412,0,12/11/2023
68,12/11/2018,3781778,353788,1,353788,A0906503,A09,6,"[24, 10.5, 1]",A0906,0,12/11/2023
69,12/11/2018,3781765,366659,2,366659,A0510402,A05,10,"[37.75, 13.5, 1]",A0510,0,12/11/2023
70,12/11/2018,3781765,466406,2,466406,A1007501,A10,7,"[22.75, 12.0, 1]",A1007,0,12/11/2023
71,12/11/2018,3781763,465577,1,465577,A1004103,A10,4,"[20.75, 9.0, 1]",A1004,0,12/11/2023
72,12/11/2018,3781737,263738,1,263738,A0412503,A04,12,"[41.0, 15.0, 1]",A0412,0,12/11/2023
73,12/11/2018,3781730,288155,1,288155,A0612503,A06,12,"[34.5, 15.0, 1]",A0612,0,12/11/2023
74,12/11/2018,3781730,362503,1,362503,A0710204,A07,10,"[31.25, 13.5, 1]",A0710,0,12/11/2023
75,12/11/2018,3781730,401415,1,401415,A0612101,A06,12,"[34.5, 15.0, 1]",A0612,0,12/11/2023
76,12/11/2018,3781730,401416,1,401416,A0612104,A06,12,"[34.5, 15.0, 1]",A0612,0,12/11/2023
77,12/11/2018,3781722,263928,1,263928,A0416404,A04,16,"[41.0, 18.0, 1]",A0416,0,12/11/2023
78,12/11/2018,3781708,202889,1,202889,A0914502,A09,14,"[24, 16.5, 1]",A0914,0,12/11/2023
79,12/11/2018,3781698,348799,1,348799,A1009503,A10,9,"[22.75, 13.5, 1]",A1009,0,12/11/2023
80,12/11/2018,3781699,450075,1,450075,A0916101,A09,16,"[24, 18.0, 1]",A0916,0,12/11/2023
81,12/11/2018,3781691,432234,1,432234,A0407103,A04,7,"[42.25, 12.0, 1]",A0407,0,12/11/2023
82,12/11/2018,3781687,424786,1,424786,A1014403,A10,14,"[20.75, 16.5, 1]",A1014,0,12/11/2023
83,12/11/2018,3781682,253469,1,253469,A0604504,A06,4,"[34.5, 9.0, 1]",A0604,0,12/11/2023
84,12/11/2018,3781680,389088,1,389088,A0309106,A03,9,"[45.5, 13.5, 1]",A0309,0,12/11/2023
85,12/11/2018,3781681,449731,1,449731,A0918103,A09,18,"[24, 19.5, 1]",A0918,0,12/11/2023
86,12/11/2018,3781669,389080,1,389080,A0312506,A03,12,"[44.25, 15.0, 1]",A0312,0,12/11/2023
87,12/11/2018,3781657,264149,1,264149,A0911204,A09,11,"[26, 15.0, 1]",A0911,0,12/11/2023
88,12/11/2018,3781560,349867,1,349867,A0719104,A07,19,"[32.5, 21.0, 1]",A0719,0,12/11/2023
89,12/11/2018,3781548,369973,1,369973,A0606502,A06,6,"[34.5, 10.5, 1]",A0606,0,12/11/2023
90,12/11/2018,3781521,450077,1,450077,A0920204,A09,20,"[24, 21.0, 1]",A0920,1,12/11/2023
91,12/11/2018,3781521,450078,1,450078,A0904104,A09,4,"[24, 9.0, 1]",A0904,1,12/11/2023
92,12/11/2018,3781521,465577,1,465577,A1004103,A10,4,"[20.75, 9.0, 1]",A1004,1,12/11/2023
93,12/11/2018,3781517,340100,1,340100,A0610401,A06,10,"[34.5, 13.5, 1]",A0610,1,12/11/2023
94,12/11/2018,3781517,459891,1,459891,A0916202,A09,16,"[24, 18.0, 1]",A0916,1,12/11/2023
95,12/11/2018,3781517,459892,1,459892,A0917401,A09,17,"[26, 19.5, 1]",A0917,1,12/11/2023
96,12/11/2018,3781517,459893,1,459893,A0919504,A09,19,"[26, 21.0, 1]",A0919,1,12/11/2023
97,12/11/2018,3781509,348799,1,348799,A1009503,A10,9,"[22.75, 13.5, 1]",A1009,0,12/11/2023
98,12/11/2018,3781499,370781,1,370781,A1008402,A10,8,"[20.75, 12.0, 1]",A1008,0,12/11/2023
99,12/11/2018,3781490,461527,1,461527,A0313306,A03,13,"[45.5, 16.5, 1]",A0313,0,12/11/2023
100,12/11/2018,3781488,454369,2,454369,A0608204,A06,8,"[34.5, 12.0, 1]",A0608,0,12/11/2023
