Wave_Number,Distance_Route,Chemins,Orders_Number,Total_Distance
0,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
1,112.0,"[[0, 0], [41.0, 0], [41.0, 15.0], [41.0, 0], [0, 0]]",1,2584.0
2,59.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 0], [0, 0]]",1,2584.0
3,125.5,"[[0, 0], [22.75, 0], [22.75, 12.0], [22.75, 25], [37.75, 25], [37.75, 13.5], [37.75, 0], [0, 0]]",1,2584.0
4,69.0,"[[0, 0], [24, 0], [24, 10.5], [24, 0], [0, 0]]",1,2584.0
5,112.0,"[[0, 0], [41.0, 0], [41.0, 15.0], [41.0, 0], [0, 0]]",1,2584.0
6,102.0,"[[0, 0], [34.5, 0], [34.5, 16.5], [34.5, 0], [0, 0]]",1,2584.0
7,107.0,"[[0, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [0, 0]]",1,2584.0
8,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
9,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
10,96.0,"[[0, 0], [39.0, 0], [39.0, 9.0], [39.0, 0], [0, 0]]",1,2584.0
11,125.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [37.75, 25], [37.75, 21.0], [37.75, 0], [0, 0]]",1,2584.0
12,95.0,"[[0, 0], [32.5, 0], [32.5, 15.0], [32.5, 0], [0, 0]]",1,2584.0
13,107.0,"[[0, 0], [32.5, 0], [32.5, 21.0], [32.5, 0], [0, 0]]",1,2584.0
14,66.0,"[[0, 0], [24, 0], [24, 9.0], [24, 0], [0, 0]]",1,2584.0
15,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
16,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 16.5], [44.25, 0], [0, 0]]",1,2584.0
17,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 16.5], [44.25, 0], [0, 0]]",1,2584.0
18,119.0,"[[0, 0], [31.25, 0], [31.25, 13.5], [31.25, 25], [34.5, 25], [34.5, 15.0], [34.5, 15.0], [34.5, 0], [0, 0]]",1,2584.0
19,65.5,"[[0, 0], [20.75, 0], [20.75, 12.0], [20.75, 0], [0, 0]]",1,2584.0
20,72.5,"[[0, 0], [22.75, 0], [22.75, 13.5], [22.75, 0], [0, 0]]",1,2584.0
21,130.0,"[[0, 0], [24, 0], [24, 18.0], [24, 25], [26, 25], [26, 21.0], [26, 19.5], [26, 25], [34.5, 25], [34.5, 13.5], [34.5, 0], [0, 0]]",1,2584.0
22,108.0,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 0], [24, 0], [24, 9.0], [24, 21.0], [24, 0], [0, 0]]",1,2584.0
23,90.0,"[[0, 0], [34.5, 0], [34.5, 10.5], [34.5, 0], [0, 0]]",1,2584.0
24,130.0,"[[0, 0], [45.5, 0], [45.5, 19.5], [45.5, 0], [0, 0]]",1,2584.0
25,107.0,"[[0, 0], [32.5, 0], [32.5, 21.0], [32.5, 0], [0, 0]]",1,2584.0
26,118.5,"[[0, 0], [44.25, 0], [44.25, 15.0], [44.25, 0], [0, 0]]",1,2584.0
27,87.0,"[[0, 0], [24, 0], [24, 19.5], [24, 0], [0, 0]]",1,2584.0
28,118.0,"[[0, 0], [45.5, 0], [45.5, 13.5], [45.5, 0], [0, 0]]",1,2584.0
29,87.0,"[[0, 0], [34.5, 0], [34.5, 9.0], [34.5, 0], [0, 0]]",1,2584.0
30,74.5,"[[0, 0], [20.75, 0], [20.75, 16.5], [20.75, 0], [0, 0]]",1,2584.0
31,108.5,"[[0, 0], [42.25, 0], [42.25, 12.0], [42.25, 0], [0, 0]]",1,2584.0
32,84.0,"[[0, 0], [24, 0], [24, 18.0], [24, 0], [0, 0]]",1,2584.0
33,72.5,"[[0, 0], [22.75, 0], [22.75, 13.5], [22.75, 0], [0, 0]]",1,2584.0
34,81.0,"[[0, 0], [24, 0], [24, 16.5], [24, 0], [0, 0]]",1,2584.0
35,118.0,"[[0, 0], [41.0, 0], [41.0, 18.0], [41.0, 0], [0, 0]]",1,2584.0
36,82.0,"[[0, 0], [26, 0], [26, 15.0], [26, 0], [0, 0]]",1,2584.0
37,124.0,"[[0, 0], [45.5, 0], [45.5, 16.5], [45.5, 0], [0, 0]]",1,2584.0
38,116.5,"[[0, 0], [35.75, 0], [35.75, 22.5], [35.75, 0], [0, 0]]",1,2584.0
39,125.5,"[[0, 0], [26, 0], [26, 21.0], [26, 25], [37.75, 25], [37.75, 10.5], [37.75, 0], [0, 0]]",1,2584.0
40,95.5,"[[0, 0], [22.75, 0], [22.75, 15.0], [22.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
41,138.5,"[[0, 0], [22.75, 0], [22.75, 15.0], [22.75, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [35.75, 25], [35.75, 13.5], [35.75, 0], [0, 0]]",1,2584.0
42,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
43,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 22.5], [44.25, 0], [0, 0]]",1,2584.0
44,93.0,"[[0, 0], [34.5, 0], [34.5, 12.0], [34.5, 0], [0, 0]]",1,2584.0
45,118.0,"[[0, 0], [45.5, 0], [45.5, 13.5], [45.5, 0], [0, 0]]",1,2584.0
46,95.5,"[[0, 0], [31.25, 0], [31.25, 16.5], [31.25, 0], [0, 0]]",1,2584.0
47,107.0,"[[0, 0], [32.5, 0], [32.5, 21.0], [32.5, 0], [0, 0]]",1,2584.0
48,109.5,"[[0, 0], [44.25, 0], [44.25, 10.5], [44.25, 0], [0, 0]]",1,2584.0
49,128.0,"[[0, 0], [20.75, 0], [20.75, 21.0], [20.75, 25], [39.0, 25], [39.0, 9.0], [39.0, 0], [0, 0]]",1,2584.0
50,102.5,"[[0, 0], [42.25, 0], [42.25, 9.0], [42.25, 0], [0, 0]]",1,2584.0
51,112.5,"[[0, 0], [44.25, 0], [44.25, 12.0], [44.25, 0], [0, 0]]",1,2584.0
52,131.0,"[[0, 0], [47.5, 0], [47.5, 18.0], [47.5, 0], [0, 0]]",1,2584.0
53,83.5,"[[0, 0], [31.25, 0], [31.25, 10.5], [31.25, 0], [0, 0]]",1,2584.0
54,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
55,110.0,"[[0, 0], [32.5, 0], [32.5, 22.5], [32.5, 0], [0, 0]]",1,2584.0
56,109.0,"[[0, 0], [41.0, 0], [41.0, 13.5], [41.0, 0], [0, 0]]",1,2584.0
57,102.0,"[[0, 0], [39.0, 0], [39.0, 12.0], [39.0, 0], [0, 0]]",1,2584.0
58,127.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 0], [44.25, 0], [44.25, 10.5], [44.25, 0], [0, 0]]",1,2584.0
59,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
60,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 22.5], [44.25, 0], [0, 0]]",1,2584.0
61,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 21.0], [44.25, 0], [0, 0]]",1,2584.0
62,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
63,94.0,"[[0, 0], [26, 0], [26, 21.0], [26, 0], [0, 0]]",1,2584.0
64,141.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [45.5, 25], [45.5, 13.5], [45.5, 0], [0, 0]]",1,2584.0
65,105.5,"[[0, 0], [37.75, 0], [37.75, 15.0], [37.75, 0], [0, 0]]",1,2584.0
66,141.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [45.5, 25], [45.5, 22.5], [45.5, 0], [0, 0]]",1,2584.0
67,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 6.0], [44.25, 0], [0, 0]]",1,2584.0
68,156.0,"[[0, 0], [15.25, 0], [15.25, 21.0], [15.25, 25], [19.5, 25], [19.5, 19.5], [19.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [39.0, 25], [39.0, 12.0], [39.0, 0], [0, 0]]",1,2584.0
69,115.5,"[[0, 0], [44.25, 0], [44.25, 13.5], [44.25, 0], [0, 0]]",1,2584.0
70,117.5,"[[0, 0], [42.25, 0], [42.25, 16.5], [42.25, 0], [0, 0]]",1,2584.0
71,107.0,"[[0, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [0, 0]]",1,2584.0
72,93.0,"[[0, 0], [34.5, 0], [34.5, 12.0], [34.5, 0], [0, 0]]",1,2584.0
0,132.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [41.0, 25], [41.0, 15.0], [41.0, 0], [0, 0]]",2,2584.0
1,143.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 0], [22.75, 0], [22.75, 12.0], [22.75, 25], [37.75, 25], [37.75, 13.5], [37.75, 0], [0, 0]]",2,2584.0
2,132.0,"[[0, 0], [24, 0], [24, 10.5], [24, 25], [41.0, 25], [41.0, 15.0], [41.0, 0], [0, 0]]",2,2584.0
3,140.0,"[[0, 0], [34.5, 0], [34.5, 16.5], [34.5, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [0, 0]]",2,2584.0
4,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",2,2584.0
5,136.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [37.75, 25], [37.75, 21.0], [37.75, 25], [39.0, 25], [39.0, 9.0], [39.0, 0], [0, 0]]",2,2584.0
6,107.0,"[[0, 0], [32.5, 0], [32.5, 15.0], [32.5, 21.0], [32.5, 0], [0, 0]]",2,2584.0
7,98.0,"[[0, 0], [24, 0], [24, 9.0], [24, 25], [19.5, 25], [19.5, 21.0], [19.5, 0], [0, 0]]",2,2584.0
8,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 16.5], [44.25, 16.5], [44.25, 0], [0, 0]]",2,2584.0
9,142.0,"[[0, 0], [20.75, 0], [20.75, 12.0], [20.75, 25], [31.25, 25], [31.25, 13.5], [31.25, 25], [34.5, 25], [34.5, 15.0], [34.5, 15.0], [34.5, 0], [0, 0]]",2,2584.0
10,148.0,"[[0, 0], [22.75, 0], [22.75, 13.5], [22.75, 25], [26, 25], [26, 21.0], [26, 19.5], [26, 25], [24, 25], [24, 18.0], [24, 25], [34.5, 25], [34.5, 13.5], [34.5, 0], [0, 0]]",2,2584.0
11,137.0,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 0], [24, 0], [24, 9.0], [24, 21.0], [24, 25], [34.5, 25], [34.5, 10.5], [34.5, 0], [0, 0]]",2,2584.0
12,141.0,"[[0, 0], [32.5, 0], [32.5, 21.0], [32.5, 25], [45.5, 25], [45.5, 19.5], [45.5, 0], [0, 0]]",2,2584.0
13,138.5,"[[0, 0], [24, 0], [24, 19.5], [24, 25], [44.25, 25], [44.25, 15.0], [44.25, 0], [0, 0]]",2,2584.0
14,136.0,"[[0, 0], [34.5, 0], [34.5, 9.0], [34.5, 0], [45.5, 0], [45.5, 13.5], [45.5, 0], [0, 0]]",2,2584.0
15,134.5,"[[0, 0], [20.75, 0], [20.75, 16.5], [20.75, 25], [42.25, 25], [42.25, 12.0], [42.25, 0], [0, 0]]",2,2584.0
16,98.0,"[[0, 0], [22.75, 0], [22.75, 13.5], [22.75, 25], [24, 25], [24, 18.0], [24, 0], [0, 0]]",2,2584.0
17,132.0,"[[0, 0], [24, 0], [24, 16.5], [24, 25], [41.0, 25], [41.0, 18.0], [41.0, 0], [0, 0]]",2,2584.0
18,141.0,"[[0, 0], [26, 0], [26, 15.0], [26, 25], [45.5, 25], [45.5, 16.5], [45.5, 0], [0, 0]]",2,2584.0
19,130.5,"[[0, 0], [26, 0], [26, 21.0], [26, 25], [35.75, 25], [35.75, 22.5], [35.75, 25], [37.75, 25], [37.75, 10.5], [37.75, 0], [0, 0]]",2,2584.0
20,153.0,"[[0, 0], [22.75, 0], [22.75, 15.0], [22.75, 15.0], [22.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [35.75, 25], [35.75, 13.5], [35.75, 0], [0, 0]]",2,2584.0
21,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 22.5], [44.25, 0], [0, 0]]",2,2584.0
22,141.0,"[[0, 0], [34.5, 0], [34.5, 12.0], [34.5, 25], [45.5, 25], [45.5, 13.5], [45.5, 0], [0, 0]]",2,2584.0
23,115.0,"[[0, 0], [31.25, 0], [31.25, 16.5], [31.25, 25], [32.5, 25], [32.5, 21.0], [32.5, 0], [0, 0]]",2,2584.0
24,159.5,"[[0, 0], [20.75, 0], [20.75, 21.0], [20.75, 25], [39.0, 25], [39.0, 9.0], [39.0, 0], [44.25, 0], [44.25, 10.5], [44.25, 0], [0, 0]]",2,2584.0
25,130.5,"[[0, 0], [42.25, 0], [42.25, 9.0], [42.25, 0], [44.25, 0], [44.25, 12.0], [44.25, 0], [0, 0]]",2,2584.0
26,145.0,"[[0, 0], [31.25, 0], [31.25, 10.5], [31.25, 25], [47.5, 25], [47.5, 18.0], [47.5, 0], [0, 0]]",2,2584.0
27,115.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [32.5, 25], [32.5, 22.5], [32.5, 0], [0, 0]]",2,2584.0
28,132.0,"[[0, 0], [39.0, 0], [39.0, 12.0], [39.0, 25], [41.0, 25], [41.0, 13.5], [41.0, 0], [0, 0]]",2,2584.0
29,149.0,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 10.5], [44.25, 0], [0, 0]]",2,2584.0
30,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 22.5], [44.25, 21.0], [44.25, 0], [0, 0]]",2,2584.0
31,102.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [26, 25], [26, 21.0], [26, 0], [0, 0]]",2,2584.0
32,161.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [37.75, 25], [37.75, 15.0], [37.75, 25], [45.5, 25], [45.5, 13.5], [45.5, 0], [0, 0]]",2,2584.0
33,146.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [45.5, 25], [45.5, 22.5], [45.5, 25], [44.25, 25], [44.25, 6.0], [44.25, 0], [0, 0]]",2,2584.0
34,192.5,"[[0, 0], [15.25, 0], [15.25, 21.0], [15.25, 25], [19.5, 25], [19.5, 19.5], [19.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [39.0, 25], [39.0, 12.0], [39.0, 25], [44.25, 25], [44.25, 13.5], [44.25, 0], [0, 0]]",2,2584.0
35,140.0,"[[0, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [42.25, 0], [42.25, 16.5], [42.25, 0], [0, 0]]",2,2584.0
36,93.0,"[[0, 0], [34.5, 0], [34.5, 12.0], [34.5, 0], [0, 0]]",2,2584.0
0,142.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [41.0, 25], [41.0, 15.0], [41.0, 0], [0, 0]]",3,2584.0
1,178.5,"[[0, 0], [24, 0], [24, 10.5], [24, 0], [22.75, 0], [22.75, 12.0], [22.75, 25], [37.75, 25], [37.75, 13.5], [37.75, 25], [41.0, 25], [41.0, 15.0], [41.0, 0], [0, 0]]",3,2584.0
2,157.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [34.5, 25], [34.5, 16.5], [34.5, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [0, 0]]",3,2584.0
3,136.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [37.75, 25], [37.75, 21.0], [37.75, 25], [39.0, 25], [39.0, 9.0], [39.0, 0], [0, 0]]",3,2584.0
4,115.0,"[[0, 0], [24, 0], [24, 9.0], [24, 25], [32.5, 25], [32.5, 21.0], [32.5, 15.0], [32.5, 0], [0, 0]]",3,2584.0
5,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 16.5], [44.25, 16.5], [44.25, 0], [0, 0]]",3,2584.0
6,165.0,"[[0, 0], [20.75, 0], [20.75, 12.0], [20.75, 25], [22.75, 25], [22.75, 13.5], [22.75, 25], [31.25, 25], [31.25, 13.5], [31.25, 25], [34.5, 25], [34.5, 15.0], [34.5, 15.0], [34.5, 0], [0, 0]]",3,2584.0
7,148.0,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 0], [24, 0], [24, 9.0], [24, 18.0], [24, 21.0], [24, 25], [26, 25], [26, 21.0], [26, 19.5], [26, 25], [34.5, 25], [34.5, 13.5], [34.5, 10.5], [34.5, 0], [0, 0]]",3,2584.0
8,152.0,"[[0, 0], [32.5, 0], [32.5, 21.0], [32.5, 25], [45.5, 25], [45.5, 19.5], [45.5, 25], [44.25, 25], [44.25, 15.0], [44.25, 0], [0, 0]]",3,2584.0
9,168.0,"[[0, 0], [24, 0], [24, 19.5], [24, 25], [34.5, 25], [34.5, 9.0], [34.5, 0], [45.5, 0], [45.5, 13.5], [45.5, 0], [0, 0]]",3,2584.0
10,148.5,"[[0, 0], [20.75, 0], [20.75, 16.5], [20.75, 25], [24, 25], [24, 18.0], [24, 25], [42.25, 25], [42.25, 12.0], [42.25, 0], [0, 0]]",3,2584.0
11,149.0,"[[0, 0], [22.75, 0], [22.75, 13.5], [22.75, 25], [24, 25], [24, 16.5], [24, 25], [41.0, 25], [41.0, 18.0], [41.0, 0], [0, 0]]",3,2584.0
12,146.0,"[[0, 0], [26, 0], [26, 15.0], [26, 25], [35.75, 25], [35.75, 22.5], [35.75, 25], [45.5, 25], [45.5, 16.5], [45.5, 0], [0, 0]]",3,2584.0
