Wave_Number,Distance_Route,Chemins,Orders_Number,Total_Distance
13,192.5,"[[0, 0], [22.75, 0], [22.75, 15.0], [22.75, 15.0], [22.75, 25], [26, 25], [26, 21.0], [26, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [35.75, 25], [35.75, 13.5], [35.75, 0], [37.75, 0], [37.75, 10.5], [37.75, 0], [0, 0]]",3,2584.0
14,143.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 22.5], [44.25, 25], [34.5, 25], [34.5, 12.0], [34.5, 0], [0, 0]]",3,2584.0
15,149.0,"[[0, 0], [31.25, 0], [31.25, 16.5], [31.25, 25], [32.5, 25], [32.5, 21.0], [32.5, 25], [45.5, 25], [45.5, 13.5], [45.5, 0], [0, 0]]",3,2584.0
16,177.5,"[[0, 0], [20.75, 0], [20.75, 21.0], [20.75, 25], [39.0, 25], [39.0, 9.0], [39.0, 0], [42.25, 0], [42.25, 9.0], [42.25, 0], [44.25, 0], [44.25, 10.5], [44.25, 0], [0, 0]]",3,2584.0
17,166.0,"[[0, 0], [31.25, 0], [31.25, 10.5], [31.25, 0], [44.25, 0], [44.25, 12.0], [44.25, 25], [47.5, 25], [47.5, 18.0], [47.5, 0], [0, 0]]",3,2584.0
18,137.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [32.5, 25], [32.5, 22.5], [32.5, 25], [41.0, 25], [41.0, 13.5], [41.0, 0], [0, 0]]",3,2584.0
19,170.0,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [39.0, 25], [39.0, 12.0], [39.0, 0], [44.25, 0], [44.25, 10.5], [44.25, 0], [0, 0]]",3,2584.0
20,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 22.5], [44.25, 21.0], [44.25, 0], [0, 0]]",3,2584.0
21,169.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [26, 25], [26, 21.0], [26, 25], [37.75, 25], [37.75, 15.0], [37.75, 25], [45.5, 25], [45.5, 13.5], [45.5, 0], [0, 0]]",3,2584.0
22,196.5,"[[0, 0], [15.25, 0], [15.25, 21.0], [15.25, 25], [19.5, 25], [19.5, 21.0], [19.5, 21.0], [19.5, 19.5], [19.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [45.5, 25], [45.5, 22.5], [45.5, 25], [39.0, 25], [39.0, 12.0], [39.0, 0], [44.25, 0], [44.25, 6.0], [44.25, 0], [0, 0]]",3,2584.0
23,157.0,"[[0, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [44.25, 0], [44.25, 13.5], [44.25, 25], [42.25, 25], [42.25, 16.5], [42.25, 0], [0, 0]]",3,2584.0
24,93.0,"[[0, 0], [34.5, 0], [34.5, 12.0], [34.5, 0], [0, 0]]",3,2584.0
0,191.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [22.75, 25], [22.75, 12.0], [22.75, 25], [37.75, 25], [37.75, 13.5], [37.75, 25], [41.0, 25], [41.0, 15.0], [41.0, 0], [0, 0]]",4,2584.0
1,174.0,"[[0, 0], [24, 0], [24, 10.5], [24, 25], [34.5, 25], [34.5, 16.5], [34.5, 25], [41.0, 25], [41.0, 15.0], [41.0, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [0, 0]]",4,2584.0
2,136.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [37.75, 25], [37.75, 21.0], [37.75, 25], [39.0, 25], [39.0, 9.0], [39.0, 0], [0, 0]]",4,2584.0
3,132.0,"[[0, 0], [24, 0], [24, 9.0], [24, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [32.5, 25], [32.5, 21.0], [32.5, 15.0], [32.5, 0], [0, 0]]",4,2584.0
4,192.0,"[[0, 0], [20.75, 0], [20.75, 12.0], [20.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [31.25, 25], [31.25, 13.5], [31.25, 25], [34.5, 25], [34.5, 15.0], [34.5, 15.0], [34.5, 25], [44.25, 25], [44.25, 16.5], [44.25, 16.5], [44.25, 0], [0, 0]]",4,2584.0
5,177.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 0], [24, 0], [24, 9.0], [24, 18.0], [24, 21.0], [24, 25], [26, 25], [26, 21.0], [26, 19.5], [26, 25], [22.75, 25], [22.75, 13.5], [22.75, 25], [34.5, 25], [34.5, 13.5], [34.5, 10.5], [34.5, 0], [0, 0]]",4,2584.0
6,160.0,"[[0, 0], [24, 0], [24, 19.5], [24, 25], [32.5, 25], [32.5, 21.0], [32.5, 25], [45.5, 25], [45.5, 19.5], [45.5, 25], [44.25, 25], [44.25, 15.0], [44.25, 0], [0, 0]]",4,2584.0
7,191.0,"[[0, 0], [20.75, 0], [20.75, 16.5], [20.75, 25], [34.5, 25], [34.5, 9.0], [34.5, 0], [42.25, 0], [42.25, 12.0], [42.25, 25], [45.5, 25], [45.5, 13.5], [45.5, 0], [0, 0]]",4,2584.0
8,149.0,"[[0, 0], [22.75, 0], [22.75, 13.5], [22.75, 25], [24, 25], [24, 18.0], [24, 16.5], [24, 25], [41.0, 25], [41.0, 18.0], [41.0, 0], [0, 0]]",4,2584.0
9,175.0,"[[0, 0], [26, 0], [26, 15.0], [26, 21.0], [26, 25], [35.75, 25], [35.75, 22.5], [35.75, 25], [37.75, 25], [37.75, 10.5], [37.75, 25], [45.5, 25], [45.5, 16.5], [45.5, 0], [0, 0]]",4,2584.0
10,175.0,"[[0, 0], [22.75, 0], [22.75, 15.0], [22.75, 15.0], [22.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [44.25, 25], [44.25, 22.5], [44.25, 25], [35.75, 25], [35.75, 13.5], [35.75, 0], [0, 0]]",4,2584.0
11,172.5,"[[0, 0], [34.5, 0], [34.5, 12.0], [34.5, 25], [32.5, 25], [32.5, 21.0], [32.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [45.5, 25], [45.5, 13.5], [45.5, 0], [0, 0]]",4,2584.0
12,180.5,"[[0, 0], [20.75, 0], [20.75, 21.0], [20.75, 25], [39.0, 25], [39.0, 9.0], [39.0, 0], [42.25, 0], [42.25, 9.0], [42.25, 0], [44.25, 0], [44.25, 10.5], [44.25, 12.0], [44.25, 0], [0, 0]]",4,2584.0
13,181.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [32.5, 25], [32.5, 22.5], [32.5, 25], [31.25, 25], [31.25, 10.5], [31.25, 25], [47.5, 25], [47.5, 18.0], [47.5, 0], [0, 0]]",4,2584.0
14,196.0,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [39.0, 25], [39.0, 12.0], [39.0, 25], [41.0, 25], [41.0, 13.5], [41.0, 0], [44.25, 0], [44.25, 10.5], [44.25, 0], [0, 0]]",4,2584.0
15,146.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [26, 25], [26, 21.0], [26, 25], [44.25, 25], [44.25, 22.5], [44.25, 21.0], [44.25, 0], [0, 0]]",4,2584.0
16,173.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [37.75, 25], [37.75, 15.0], [37.75, 25], [45.5, 25], [45.5, 22.5], [45.5, 13.5], [45.5, 0], [44.25, 0], [44.25, 6.0], [44.25, 0], [0, 0]]",4,2584.0
17,226.0,"[[0, 0], [15.25, 0], [15.25, 21.0], [15.25, 25], [19.5, 25], [19.5, 19.5], [19.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [42.25, 25], [42.25, 16.5], [42.25, 25], [44.25, 25], [44.25, 13.5], [44.25, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [39.0, 0], [39.0, 12.0], [39.0, 0], [0, 0]]",4,2584.0
18,93.0,"[[0, 0], [34.5, 0], [34.5, 12.0], [34.5, 0], [0, 0]]",4,2584.0
0,213.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [22.75, 25], [22.75, 12.0], [22.75, 0], [24, 0], [24, 10.5], [24, 0], [37.75, 0], [37.75, 13.5], [37.75, 25], [41.0, 25], [41.0, 15.0], [41.0, 0], [0, 0]]",5,2584.0
1,174.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [34.5, 25], [34.5, 16.5], [34.5, 25], [41.0, 25], [41.0, 15.0], [41.0, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [0, 0]]",5,2584.0
2,173.0,"[[0, 0], [24, 0], [24, 9.0], [24, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [32.5, 25], [32.5, 21.0], [32.5, 15.0], [32.5, 25], [37.75, 25], [37.75, 21.0], [37.75, 25], [39.0, 25], [39.0, 9.0], [39.0, 0], [0, 0]]",5,2584.0
3,192.0,"[[0, 0], [20.75, 0], [20.75, 12.0], [20.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [31.25, 25], [31.25, 13.5], [31.25, 25], [34.5, 25], [34.5, 15.0], [34.5, 15.0], [34.5, 25], [44.25, 25], [44.25, 16.5], [44.25, 16.5], [44.25, 0], [0, 0]]",5,2584.0
4,228.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 0], [24, 0], [24, 9.0], [24, 18.0], [24, 21.0], [24, 25], [26, 25], [26, 21.0], [26, 19.5], [26, 25], [22.75, 25], [22.75, 13.5], [22.75, 25], [34.5, 25], [34.5, 13.5], [34.5, 10.5], [34.5, 25], [45.5, 25], [45.5, 19.5], [45.5, 0], [0, 0]]",5,2584.0
5,199.0,"[[0, 0], [24, 0], [24, 19.5], [24, 25], [32.5, 25], [32.5, 21.0], [32.5, 25], [34.5, 25], [34.5, 9.0], [34.5, 0], [45.5, 0], [45.5, 13.5], [45.5, 25], [44.25, 25], [44.25, 15.0], [44.25, 0], [0, 0]]",5,2584.0
6,175.0,"[[0, 0], [22.75, 0], [22.75, 13.5], [22.75, 25], [24, 25], [24, 18.0], [24, 16.5], [24, 25], [20.75, 25], [20.75, 16.5], [20.75, 25], [42.25, 25], [42.25, 12.0], [42.25, 0], [0, 0]]",5,2584.0
7,177.0,"[[0, 0], [26, 0], [26, 15.0], [26, 21.0], [26, 25], [35.75, 25], [35.75, 22.5], [35.75, 25], [41.0, 25], [41.0, 18.0], [41.0, 25], [45.5, 25], [45.5, 16.5], [45.5, 25], [37.75, 25], [37.75, 10.5], [37.75, 0], [0, 0]]",5,2584.0
8,198.0,"[[0, 0], [22.75, 0], [22.75, 15.0], [22.75, 15.0], [22.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [44.25, 25], [44.25, 22.5], [44.25, 25], [35.75, 25], [35.75, 13.5], [35.75, 25], [34.5, 25], [34.5, 12.0], [34.5, 0], [0, 0]]",5,2584.0
9,216.5,"[[0, 0], [20.75, 0], [20.75, 21.0], [20.75, 25], [32.5, 25], [32.5, 21.0], [32.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [39.0, 25], [39.0, 9.0], [39.0, 0], [44.25, 0], [44.25, 10.5], [44.25, 0], [45.5, 0], [45.5, 13.5], [45.5, 0], [0, 0]]",5,2584.0
10,213.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [31.25, 25], [31.25, 10.5], [31.25, 0], [42.25, 0], [42.25, 9.0], [42.25, 0], [44.25, 0], [44.25, 12.0], [44.25, 25], [47.5, 25], [47.5, 18.0], [47.5, 0], [0, 0]]",5,2584.0
11,201.0,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [32.5, 25], [32.5, 22.5], [32.5, 25], [39.0, 25], [39.0, 12.0], [39.0, 25], [41.0, 25], [41.0, 13.5], [41.0, 0], [44.25, 0], [44.25, 10.5], [44.25, 0], [0, 0]]",5,2584.0
12,157.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [26, 25], [26, 21.0], [26, 25], [44.25, 25], [44.25, 22.5], [44.25, 21.0], [44.25, 25], [45.5, 25], [45.5, 13.5], [45.5, 0], [0, 0]]",5,2584.0
13,218.0,"[[0, 0], [15.25, 0], [15.25, 21.0], [15.25, 25], [19.5, 25], [19.5, 21.0], [19.5, 21.0], [19.5, 19.5], [19.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [37.75, 25], [37.75, 15.0], [37.75, 25], [45.5, 25], [45.5, 22.5], [45.5, 25], [44.25, 25], [44.25, 13.5], [44.25, 6.0], [44.25, 0], [39.0, 0], [39.0, 12.0], [39.0, 0], [0, 0]]",5,2584.0
14,157.0,"[[0, 0], [34.5, 0], [34.5, 12.0], [34.5, 25], [42.25, 25], [42.25, 16.5], [42.25, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [0, 0]]",5,2584.0
0,213.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [22.75, 25], [22.75, 12.0], [22.75, 0], [24, 0], [24, 10.5], [24, 0], [37.75, 0], [37.75, 13.5], [37.75, 25], [41.0, 25], [41.0, 15.0], [41.0, 15.0], [41.0, 0], [0, 0]]",6,2584.0
1,188.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [37.75, 25], [37.75, 21.0], [37.75, 25], [34.5, 25], [34.5, 16.5], [34.5, 25], [39.0, 25], [39.0, 9.0], [39.0, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [0, 0]]",6,2584.0
2,175.5,"[[0, 0], [24, 0], [24, 9.0], [24, 25], [19.5, 25], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [32.5, 25], [32.5, 21.0], [32.5, 15.0], [32.5, 25], [44.25, 25], [44.25, 16.5], [44.25, 16.5], [44.25, 0], [0, 0]]",6,2584.0
3,214.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 12.0], [20.75, 25], [24, 25], [24, 21.0], [24, 18.0], [24, 9.0], [24, 25], [26, 25], [26, 21.0], [26, 19.5], [26, 25], [22.75, 25], [22.75, 13.5], [22.75, 25], [31.25, 25], [31.25, 13.5], [31.25, 25], [34.5, 25], [34.5, 15.0], [34.5, 15.0], [34.5, 13.5], [34.5, 10.5], [34.5, 0], [0, 0]]",6,2584.0
4,204.0,"[[0, 0], [24, 0], [24, 19.5], [24, 25], [32.5, 25], [32.5, 21.0], [32.5, 25], [34.5, 25], [34.5, 9.0], [34.5, 25], [45.5, 25], [45.5, 19.5], [45.5, 13.5], [45.5, 25], [44.25, 25], [44.25, 15.0], [44.25, 0], [0, 0]]",6,2584.0
5,189.0,"[[0, 0], [22.75, 0], [22.75, 13.5], [22.75, 25], [24, 25], [24, 18.0], [24, 16.5], [24, 25], [20.75, 25], [20.75, 16.5], [20.75, 25], [41.0, 25], [41.0, 18.0], [41.0, 25], [42.25, 25], [42.25, 12.0], [42.25, 0], [0, 0]]",6,2584.0
6,260.0,"[[0, 0], [22.75, 0], [22.75, 15.0], [22.75, 15.0], [22.75, 25], [26, 25], [26, 21.0], [26, 15.0], [26, 25], [19.5, 25], [19.5, 21.0], [19.5, 25], [35.75, 25], [35.75, 22.5], [35.75, 13.5], [35.75, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [37.75, 25], [37.75, 10.5], [37.75, 25], [45.5, 25], [45.5, 16.5], [45.5, 0], [0, 0]]",6,2584.0
7,196.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [32.5, 25], [32.5, 21.0], [32.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [44.25, 25], [44.25, 22.5], [44.25, 25], [45.5, 25], [45.5, 13.5], [45.5, 25], [34.5, 25], [34.5, 12.0], [34.5, 0], [0, 0]]",6,2584.0
8,231.0,"[[0, 0], [20.75, 0], [20.75, 21.0], [20.75, 25], [31.25, 25], [31.25, 10.5], [31.25, 0], [39.0, 0], [39.0, 9.0], [39.0, 0], [42.25, 0], [42.25, 9.0], [42.25, 0], [44.25, 0], [44.25, 10.5], [44.25, 12.0], [44.25, 25], [47.5, 25], [47.5, 18.0], [47.5, 0], [0, 0]]",6,2584.0
9,201.0,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 25], [19.5, 25], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [32.5, 25], [32.5, 22.5], [32.5, 25], [39.0, 25], [39.0, 12.0], [39.0, 25], [41.0, 25], [41.0, 13.5], [41.0, 0], [44.25, 0], [44.25, 10.5], [44.25, 0], [0, 0]]",6,2584.0
10,180.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 21.0], [19.5, 21.0], [19.5, 25], [26, 25], [26, 21.0], [26, 25], [44.25, 25], [44.25, 22.5], [44.25, 21.0], [44.25, 25], [45.5, 25], [45.5, 13.5], [45.5, 25], [37.75, 25], [37.75, 15.0], [37.75, 0], [0, 0]]",6,2584.0
11,237.5,"[[0, 0], [15.25, 0], [15.25, 21.0], [15.25, 25], [19.5, 25], [19.5, 21.0], [19.5, 21.0], [19.5, 19.5], [19.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [45.5, 25], [45.5, 22.5], [45.5, 25], [42.25, 25], [42.25, 16.5], [42.25, 25], [44.25, 25], [44.25, 13.5], [44.25, 6.0], [44.25, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [39.0, 0], [39.0, 12.0], [39.0, 0], [0, 0]]",6,2584.0
12,93.0,"[[0, 0], [34.5, 0], [34.5, 12.0], [34.5, 0], [0, 0]]",6,2584.0
